USER_ADDRESS,CURRENT_BALANCE
0x0f50d31b3eaefd65236dd3736b863cffa4c63c4e,210965.87
0x3e0f52239518b540a06f81d51ac4ea7ffdece329,101000
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,95994.186235736
0x92e3f4891b37d1faae471091599721115893ed24,65000
0x0d8846e5d4af5dd24be37f460c07046fd80d96a3,65000
0x7d1a02c0ebcf06e1a36231a54951e061673ab27f,64999
0xc64c27791b2355b3080721197b89602ac6c92b7b,59714.62511615
0x34112c83e77a3234f2ce320b05f758f9b17f93c8,57500
0x20fac6b59617e21e20feb874972962c7b43985c5,55000
0xf3c43d76a0cb03c7a6599b720290c74a903f94e8,53924.6330044
0x792e2deaf37b2b8ea564bef2663cb26c8c001219,50000
0x7b4cec1426f470a14857081ddefb0f6843431d41,50000
0x5012de52bf4282c399033db03e79f9f790b507a1,50000
0x20aff94b5772784847692dccbe0316a6cb6f952b,50000
0x56d65fd38a5ce6c0557c36f603eb14ba10685b69,50000
0x1319ee7813b76bdda5caa65cc0bb36b57a9c1494,50000
0xa0b8d1e07cb8511cf728669bf6613a85aa636826,50000
0xf0775dd7a342f123b63826eab7abb979d109b2dc,50000
0x897cca2fff87de371d9b5f7500d6225bf9413a14,50000
0x2ea5973ffc1dac5503387ae31257b659aea91167,50000
0xa5044e67f0c35b31fe82f2ded6606b0b91545e98,50000
0x19f665b77e569213ed66b7b8027e566664797eef,50000
0x574a76f5fce84d841b6a62742e693af4c23a46bb,50000
0xbc1cd897d237711cb2269c50f454da4025ae2819,50000
0x319f179e85fecfc15c391c9213bcce91f42afab5,50000
0x63affb51efef16b6c8bf13738beaf61077960270,49005.236201703
0x4ac0dbce527bcb60787cef10053348b146c6b5e3,48724.6667052
0xf93d43dbb6215963d8e3e3c2ac602bb8311c8503,45000
0x4f3a2bfd91761ac0d82261b82bb5c8ace4644a51,42695.7915985
0xc334629d8adbac334e13d5b8469d27127122032e,42500
0x9d0361f5da754994c1df011e86469416d6f1ec31,40012.0698153
0x93cb8af7d9589f0ae34501391e8ea57850581a08,39188.6555557
0xadefe156eecf638f97ede541edf96403bc0dd3df,32501
0x90bd4645882e865a1d94ab643017bd5ec2ae73be,27430.58862176
0x19bc62ff7cd9ffd6bdced9802ff718f09f7259f1,25550
0xba9309a8f0f407f91ce98ad20b30a11baa382394,25000
0x48804e458d7a779c5fd2ce757876dabdc9ce422c,24998.91566181
0x13691cff1092d704ec20e16036491c8805f6d22c,24995.4699
0x3318552dec1881bfd43adfac65adee81cc6298bb,24925.0357
0x55c03907c62cf2884b795f216e7cd1dcb5e560bf,24918.99786382
0x482e59f5fdd351d0d17621b1a8c9bc5b14f0717c,24785.7346
0x0b588bd4b60fb38daa5dc089ad3486b34f7700f8,24669.2148988
0x17d6dd6b29c639efca9d3ec2fe3848909c1b40d9,24412.6073
0x4086e3e1e99a563989a9390facff553a4f29b6ee,22442.313726103
0x9299eca33cda381af7a0a5082480350e965dfd97,20000
0x8266532a54eeebd07d0678d8999059cbfae9a340,20000
0x15f6fdf2873c7093bb02114bad1d4e010ea31d0b,15000
0x2f840532892f91811f99cdaec703f322a779cc66,14743
0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,11887.07414252
